Boroughs;Year;% of economically active with NVQ4+ - working age;% of economically active with NVQ3 only - working age;% of economically active with Trade Apprenticeships - working age;% of economically active with NVQ2 only - working age;% of economically active with NVQ1 only - working age;% of economically active with other qualifications - working age;% of economically active with no qualifications - working age;Gross Annual Pay - Full Time - Total (£);Gross Annual Pay - Full Time - Male (£);Gross Annual Pay - Full Time - Female (£);Those who have done any voluntary work in the last 12 months (%);Number of active businesses;Two-year business survival rates;Number Employed - Total;Number Employed - Male;Number Employed - Female;Jobs Density;Crime Rates per thousand population;Fires per thousand population;Ambulance incidents per hundred population;Total Carbon Emissions;Household Waste Recycling Rate;Number of Licensed Vehicles;Traffic Flows;% of adults who cycle at least once per month;Road Casualties (Killed or Seriously Injured);% children living in out-of-work households;% of Children in Poverty,,,,,,,,,,,,,,,,
Lambeth;2012;40,5;17,1;3,6;16,1;11;8,2;3,5;33822;36532;28742;23,75572754;14820;67,5;150500;80500;70000;0,66;112,546744;2,698259188;14,4822695;1285,372158;23;73653;718;19;151;28,4;29,0,
Lewisham;2012;52,3;9,3;1,8;12,1;8,5;9,2;6,8;31821;33036;28111;26,92526823;8235;75,3;76500;34100;42400;0,39;87,82267116;2,365426416;13,03861399;973,2609829;20;84452;753;13;102;27,5;27,3
Merton;2012;65,9;6,9;1,6;7,4;7,7;6,3;4,2;36653;40102;33171;31,12863711;9880;72,2;88700;49300;39400;0,65;66,14414637;1,977994808;10,61144764;859,9835918;39;82546;581;15;65;15,7;15,8
Newham;2012;68,8;8,6;0,7;7,6;4,1;5,6;4,6;30726;31233;30361;31,07867349;7750;67,9;97000;52600;44400;0,44;100,9793558;2,865475478;13,33273901;1470,535724;21;74019;886;6;77;26,1;27,8
Redbridge;2012;55,1;14,3;2,1;11,3;6,8;6,2;4,1;29067;-;25798;42,70229617;11240;71;86900;42200;44700;0,47;78,76901239;2,037826272;11,63915016;1000,823743;29;111868;1089;10;93;18,8;19,3,
Richmond upon Thames;2012;63,1;12,2;!;7,1;6,8;4,4;5,9;35280;37528;32011;31,66478385;12705;75,9;90600;48000;42600;0,74;62,40186101;1,707684581;9,676174364;908,6938377;46;86886;781;34;52;8,4;8,8,
Southwark;2012;63,4;11,7;1,9;6,7;5,2;5,8;5,2;29995;-;28100;27,8685493;13875;70,9;265500;163000;102500;1,25;111,5627023;3,16151671;14,72251559;1541,583149;30;71584;715;21;117;28,7;28,4
Sutton;2012;52;17,7;1,9;9,3;7,9;6,6;4,6;28613;29252;26842;21,99151326;7480;76,9;77900;43900;34000;0,62;57,78030264;2,246552704;11,51319527;811,5243851;37;94976;609;10;42;15,1;14,7,
Tower Hamlets;2012;49,2;10,9;!;11,9;4,1;14,6;9;30540;30896;29995;8,417459639;13740;69,3;252800;157200;95600;1,3;110,5766854;4,456222933;12,84852264;2090,410797;28;49986;864;17;168;36,6;39,0,,
Waltham Forest;2012;49,8;15,1;2,4;11,2;6,3;7,9;7,4;28100;31590;23768;25,17861958;8265;71,1;76400;43800;32600;0,43;93,22608411;2,528887975;12,50047607;875,7031247;31;86932;663;16;69;24,5;24,9
Wandsworth;2012;66,8;13,1;2,7;6,8;4,7;3,8;2,1;31505;31825;-;48,6835394;15800;74,5;134300;65400;68900;0,6;82,53003451;2,212044941;10,58570539;1207,915925;23;97130;787;22;109;18,8;19,5
Westminster;2012;64,2;8,9;!;8,3;4,6;8,3;5,4;36056;40148;32817;26,4130463;49825;64,2;692200;400200;292000;4,25;277,0238276;4,811085599;22,51963298;3177,518603;22;62248;829;18;193;32,4;31,3,
City of London;2013;42,2;17,3;4,1;16,9;8,9;7;3,8;25247;25412;25093;23,50847856;17775;64,3;464400;306600;157800;81,57;-;13,46757322;84,88493724;1414,626444;39;3427;156;7;60;7,9;10,8,,
Barking and Dagenham;2013;62,9;8,6;0,5;8,6;3,6;8,3;7,5;44880;50941;38485;20,6398546;5055;73;54100;31600;22500;0,44;82,85996542;3,678891907;14,16502017;789,7070294;25;66725;581;7;45;27,2;27,8,
Barnet;2013;47,1;12,1;1,3;10,7;8,5;12,4;7,9;27235;29212;24296;19,24181761;23135;73,8;158900;77600;81300;0,66;61,56797295;1,91824172;11,70750607;1553,772541;36;151582;1648;12;131;13,4;15,8
Bexley;2013;73,6;10,1;0,8;5,1;3,1;5,1;2,2;31262;33624;28146;34,56799535;7830;73,5;80200;42000;38300;0,54;50,01119622;2,116719549;12,13881624;1064,59375;55;119131;886;9;31;17,4;17,5
Brent;2013;72,6;10,5;1,2;4,3;2,4;6;3;37649;42292;32539;23,94329077;13915;74,4;125000;73900;51100;0,57;77,14710777;2,168541026;12,78399062;1300,648351;41;105049;846;12;84;20,2;21,3,,
Bromley;2013;64,6;10,1;0,8;7,6;4,8;7,1;5;38225;42741;33849;-;14065;78,6;131100;61800;69300;0,64;61,16722607;2,230268104;11,48226323;1342,9608;50;164086;1197;12;70;13,7;14,4,,
Camden;2013;46,7;15,5;2,1;13,1;9,1;8,2;5,4;29382;31990;26215;-;27530;73,6;354600;196300;158300;2,16;124,7001772;3,177795481;15,58556323;1534,767954;29;57267;443;15;105;22,4;28,1,
Croydon;2013;54;13,3;1,6;10,9;7,3;7,8;5,2;34883;37999;31231;25,67882446;13515;75,3;130100;69600;60600;0,53;75,65888312;2,438618706;13,57497746;1461,761731;42;150390;1152;7;71;19,3;21,1,
Ealing;2013;38,4;17,6;3,6;16,6;11,6;6,2;6;26822;29109;23339;24,48879334;16310;75,8;151900;89200;62700;0,65;75,58088609;2,195658902;12,0235683;1576,61369;40;130754;1245;13;81;18,5;19,5,
Enfield;2013;38,5;17,3;3,9;16,4;11,5;6,2;6,2;26472;28717;23090;-;12065;74,2;116200;58800;57300;0,57;70,60625725;2,54271131;12,86611923;1390,794828;39;132441;1512;8;72;24,6;24,9,
Greenwich;2013;100;!;!;!;!;!;!;54202;63904;41599;-;8320;72,7;84600;44800;39800;0,48;74,35380746;2,97718251;12,81817218;1009,469721;39;83247;1037;12;28;22,4;24,7,,,,,,,,
Hackney;2013;32,3;13,1;1,8;14,6;12,9;13,8;11,4;32248;36934;-;20,52970603;14180;76,8;111600;58200;53400;0,6;101,1387875;2,673100758;12,28383046;880,7607578;25;46467;457;24;83;26,0;27,9
Hammersmith and Fulham;2013;56,8;10,6;1,5;9,9;8,2;10,2;2,8;29353;34447;26271;33,17655799;12850;73,4;141800;68000;73800;1,08;106,248426;2,27775135;13,26300473;973,3330864;21;49744;513;24;53;21,6;24,2
Haringey;2013;35,3;14,2;4,3;22,9;15;5,5;2,7;28512;30708;25537;22,13447998;11020;74,4;85500;46000;39500;0,45;83,80855474;2,069206412;13,20723197;895,8052132;36;69296;530;15;106;23,0;24,8,
Harrow;2013;50,8;14,9;!;9,3;8,6;10,6;5,7;28034;29813;24968;17,25858577;12970;76,5;78200;37500;40700;0,49;50,27694229;1,528524235;10,40382624;840,8234171;49;106827;569;5;38;12,9;15,0,
Havering;2013;51,9;15,2;2,1;13,1;8,9;4,8;4;28126;32878;25214;28,97258431;8865;75,3;90100;45000;45200;0,6;62,4876074;2,338070059;12,81022802;1150,884021;32;127860;1510;9;51;17,9;17,5,
Hillingdon;2013;69,8;11,1;0,8;5,9;4,1;3,5;4,8;36336;38490;32746;21,9178877;11630;75;213600;120800;92800;1,13;67,18130025;2,897428924;15,50176775;2007,567619;43;153044;2129;13;59;17,2;17,6,
Hounslow;2013;47,8;16,3;2,9;11,7;9;8,2;4,1;30939;34423;24439;27,18704922;12230;76,2;167400;99900;67500;0,93;74,9522688;2,560907293;12,53015354;1424,977048;35;107675;1506;15;64;18,1;19,7,
Islington;2013;51,9;14,1;3,2;10,6;9;5,8;5,3;29733;32156;26507;32,07985674;16850;72,5;220100;118900;101300;1,36;114,078649;2,489949784;14,82238822;1051,869533;33;42283;391;21;71;30,5;32,6,
Kensington and Chelsea;2013;44,3;14,9;!;14,2;10,9;11,6;3,5;25805;26527;24440;22,43595659;12985;74,5;142700;66300;76400;1,29;115,5250202;2,050207592;13,15153541;1227,733375;25;48159;487;16;64;14,2;20,8,
Kingston upon Thames;2013;52,6;14,2;2,9;13,9;6,8;5,4;4,2;29251;32817;27541;17,41237408;8130;76,8;81300;39800;41600;0,71;55,68579017;1,804632089;11,7001313;759,3820491;46;73759;890;21;37;10,0;11,8
Lambeth;2013;58,6;9,5;2,5;9,1;7,5;7,7;5,1;33097;35032;30144;29,6391755;17925;63,8;170100;87500;82700;0,72;104,7695725;2,526715079;14,16519752;1259,07893;21;71645;704;20;133;25,5;27,3
Lewisham;2013;70,6;6,5;!;4,8;5,3;6,7;5,7;34554;38699;33149;30,48189036;8885;73,4;83200;36300;46900;0,41;78,01733175;2,519393389;12,59487036;935,4709427;18;82843;734;13;64;24,2;25,7,
Merton;2013;61,9;9,1;0,9;9,6;5,5;7,3;5,8;29609;31472;27668;29,84895126;10560;78,4;97500;52300;45100;0,7;57,06047052;2,115902235;11,06912111;849,6036141;39;83868;576;19;32;13,8;14,9
